,A,B,C
18,0.09724489795918367,0.5179290508149569,0.38482605122585944
19,0.0946938775510204,0.5300095877277086,0.375296534721271
20,0.0923469387755102,0.5417066155321189,0.3659464456923709
21,0.09020408163265306,0.553020134228188,0.356775784139159
22,0.08826530612244898,0.5639501438159157,0.34778455006163533
23,0.08653061224489796,0.574496644295302,0.3389727434598
24,0.085,0.5846596356663472,0.3303403643336529
25,0.0836734693877551,0.5944391179290508,0.3218874126831941
26,0.08255102040816327,0.6038350910834132,0.31361388850842353
27,0.0816326530612245,0.6128475551294343,0.3055197918093412
28,0.08091836734693877,0.6214765100671141,0.29760512258594707
29,0.08040816326530613,0.6297219558964525,0.2898698808382414
30,0.08010204081632653,0.6375838926174496,0.2823140665662238
31,0.08,0.6450623202301055,0.2749376797698946
32,0.08010204081632653,0.6521572387344199,0.26774072044925357
33,0.08040816326530613,0.658868648130393,0.2607231886043009
34,0.08091836734693877,0.6651965484180249,0.2538850842350363
35,0.0816326530612245,0.6711409395973155,0.24722640734146006
36,0.08255102040816327,0.6767018216682646,0.24074715792357204
37,0.0836734693877551,0.6818791946308725,0.23444733598137235
38,0.085,0.686673058485139,0.228326941514861
39,0.08653061224489796,0.6910834132310643,0.22238597452403774
40,0.08826530612244898,0.6951102588686481,0.21662443500890294
41,0.09020408163265306,0.6987535953978907,0.21104232296945624
42,0.0923469387755102,0.7020134228187919,0.20563963840569788
43,0.0946938775510204,0.7048897411313518,0.20041638131762773
44,0.09724489795918367,0.7073825503355705,0.1953725517052458
45,0.1,0.7094918504314478,0.19050814956855222
46,0.10295918367346939,0.7112176414189838,0.18582317490754685
47,0.10612244897959183,0.7125599232981783,0.18131762772222992
48,0.10948979591836736,0.7135186960690316,0.176991508012601
49,0.11306122448979591,0.7140939597315435,0.1728448157786605
50,0.11683673469387756,0.7142857142857143,0.16887755102040813
51,0.12081632653061225,0.7140939597315435,0.1650897137378442
52,0.125,0.7135186960690316,0.16148130393096838
53,0.1293877551020408,0.7125599232981783,0.1580523215997809
54,0.1339795918367347,0.7112176414189838,0.1548027667442815
55,0.13877551020408163,0.7094918504314478,0.15173263936447057
56,0.14377551020408164,0.7073825503355705,0.14884193946034785
57,0.1489795918367347,0.7048897411313518,0.14613066703191346
58,0.15438775510204084,0.7020134228187919,0.1435988220791673
59,0.16,0.6987535953978907,0.14124640460210924
60,0.16581632653061223,0.6951102588686481,0.13907341460073963
61,0.17183673469387756,0.6910834132310643,0.13707985207505813
62,0.17806122448979594,0.686673058485139,0.13526571702506507
63,0.18448979591836734,0.6818791946308725,0.13363100945076012
64,0.19112244897959185,0.6767018216682646,0.1321757293521435
65,0.19795918367346937,0.6711409395973155,0.13089987672921521
66,0.20500000000000002,0.6651965484180249,0.12980345158197504
67,0.21224489795918366,0.658868648130393,0.1288864539104233
68,0.21969387755102043,0.6521572387344199,0.12814888371455968
69,0.2273469387755102,0.6450623202301055,0.12759074099438428
70,0.23520408163265305,0.6375838926174496,0.12721202574989732
71,0.243265306122449,0.6297219558964525,0.12701273798109847
72,0.251530612244898,0.6214765100671141,0.12699287768798795
73,0.26,0.6128475551294343,0.12715244487056565
74,0.2686734693877551,0.6038350910834132,0.1274914395288318
75,0.27755102040816326,0.5944391179290508,0.12800986166278594
76,0.2866326530612245,0.5846596356663472,0.12870771127242842
77,0.29591836734693877,0.574496644295302,0.12958498835775922
78,0.3054081632653061,0.5639501438159157,0.13064169291877825
79,0.31510204081632653,0.553020134228188,0.1318778249554855
80,0.325,0.5417066155321189,0.1332933844678812
81,0.33510204081632655,0.5300095877277086,0.13488837145596488
82,0.34540816326530616,0.5179290508149569,0.13666278591973702
83,0.3559183673469388,0.5054650047938639,0.13861662785919726
84,0.3666326530612245,0.4926174496644296,0.1407498972743459
85,0.3775510204081633,0.4793863854266539,0.14306259416518274
86,0.38867346938775515,0.4657718120805369,0.14555471853170793
87,0.4,0.4517737296260786,0.1482262703739214
88,0.411530612244898,0.43739213806327903,0.1510772496918229
89,0.423265306122449,0.4226270373921381,0.15410765648541297
90,0.4352040816326531,0.4074784276126558,0.1573174907546911
91,0.44734693877551024,0.3919463087248322,0.16070675249965755
92,0.4596938775510204,0.3760306807286673,0.16427544172031228
93,0.47224489795918373,0.3597315436241611,0.16802355841665512
94,0.48500000000000004,0.34304889741131356,0.17195110258868634
95,0.4979591836734694,0.3259827420901247,0.17605807423640596
96,0.5111224489795918,0.30853307766059446,0.18034447335981374
97,0.5244897959183673,0.29069990412272295,0.18481029995890974
98,0.5380612244897959,0.2724832214765101,0.18945555403369402
99,0.5518367346938775,0.2538830297219559,0.19428023558416657
100,0.5658163265306122,0.23489932885906045,0.19928434461032735
101,0.58,0.21553211888782364,0.2044678811121764
102,0.5943877551020408,0.19578139980824544,0.20983084508971378
103,0.6089795918367347,0.175647171620326,0.21537323654293933
104,0.6237755102040816,0.15512943432406523,0.22109505547185315
105,0.6387755102040816,0.1342281879194631,0.22699630187645528
106,0.6539795918367347,0.11294343240651969,0.2330769757567456
107,0.6693877551020408,0.09127516778523491,0.23933707711272423
108,0.6849999999999999,0.06922339405560887,0.24577660594439119
109,0.7008163265306122,0.04678811121764147,0.2523955622517463
110,0.7168367346938775,0.023969319271332674,0.2591939460347898
